Unnamed: 0,cmtFileName,Number of Nodes,Number of Trucks,Coarsening Rate,Run Number,Solution Cost,Relative Cost,Solve Time,Real number of trucks,qpu_access_time,run_time
0,CMT01.xml,51,5,1.0,0,2402.3476394457143,4.579302032835276,45.31433606147766,9,85.347,6368.086
1,CMT01.xml,51,5,0.9,0,2204.6183000116207,4.202394731346373,33.37172198295593,8,85.315,5079.448
2,CMT01.xml,51,5,0.7,0,1865.967231071784,3.5568655402523475,18.80651021003723,8,42.677,3292.195
3,CMT01.xml,51,5,0.5,0,1405.4588064919033,2.6790545481250896,11.470060110092165,7,42.671,2997.99
4,CMT01.xml,51,5,0.3,0,976.377638245212,1.861149498189535,10.8064706325531,8,106.179,2996.913
5,CMT01.xml,51,5,1.0,1,2402.3476394457143,4.579302032835276,44.35905981063843,7,85.341,6356.73
6,CMT01.xml,51,5,1.0,2,2402.3476394457143,4.579302032835276,43.90521168708801,8,85.345,6292.281
7,CMT01.xml,51,5,0.9,1,2204.6183000116207,4.202394731346373,34.245670557022095,8,42.671,5082.006
8,CMT01.xml,51,5,0.9,2,2204.6183000116207,4.202394731346373,31.381463289260864,9,85.344,5068.54
9,CMT01.xml,51,5,0.7,1,1865.967231071784,3.5568655402523475,19.03620338439941,7,42.677,3296.48
10,CMT01.xml,51,5,0.7,2,1865.967231071784,3.5568655402523475,26.984734296798703,7,0.0,3297.041
11,CMT01.xml,51,5,0.5,1,1405.4588064919033,2.6790545481250896,14.096728324890137,7,42.679,2989.451
12,CMT01.xml,51,5,0.5,2,1405.4588064919033,2.6790545481250896,13.5281183719635,8,42.672,2994.101
13,CMT01.xml,51,5,0.3,1,976.377638245212,1.861149498189535,11.870064973831177,8,106.475,2990.526
14,CMT01.xml,51,5,0.3,2,976.377638245212,1.861149498189535,10.653191089630129,8,106.341,2999.427
15,CMT02.xml,76,10,1.0,0,3630.856788462801,4.346977933173863,130.41836261749268,13,85.346,17734.463
16,CMT02.xml,76,10,0.9,0,3326.447655655053,3.9825295784008015,93.50303435325624,14,85.343,11349.501
17,CMT02.xml,76,10,0.7,0,2843.9193744582058,3.4048312794318005,52.32408785820007,15,85.346,6820.56
18,CMT02.xml,76,10,0.5,0,2249.7596710326206,2.6934842696078114,24.456695079803467,15,42.649,3775.31
19,CMT02.xml,76,10,0.3,0,1453.6019286241192,1.740298743653616,12.909422397613524,14,42.653,2991.015
20,CMT02.xml,76,10,1.0,1,3630.856788462801,4.346977933173863,130.74971294403076,15,85.337,17746.442
21,CMT02.xml,76,10,1.0,2,3630.856788462801,4.346977933173863,132.78478693962097,15,85.348,17737.535
22,CMT02.xml,76,10,0.9,1,3326.447655655053,3.9825295784008015,94.79653453826904,14,85.339,11986.973
23,CMT02.xml,76,10,0.9,2,3326.447655655053,3.9825295784008015,96.6741235256195,15,85.348,11974.985
24,CMT02.xml,76,10,0.7,1,2843.9193744582058,3.4048312794318005,52.546440839767456,15,85.347,6821.469
25,CMT02.xml,76,10,0.7,2,2843.9193744582058,3.4048312794318005,49.48673105239868,15,85.351,6826.539
