Number of Nodes,Number of trucks,Coarsening Ratio,Run Number,Cost Evaluation,Solve Time,Cost Evaluation (duplicate),Solve Time (duplicate)
20,2,0.5,15,4.583213138,0.215993404,4.583213138,0.215993404
,,,,,,,
20,2,0.5,16,4.167529976,0.19999218,4.167529976,0.19999218
,,,,,,,
20,2,0.5,17,4.036336246,0.172994852,4.036336246,0.172994852
,,,,,,,
20,2,0.5,18,5.165889787,0.248993397,5.165889787,0.248993397
,,,,,,,
20,2,0.5,19,4.824658503,0.136995077,4.824658503,0.136995077
,,,,,,,
20,2,0.3,0,4.405847718,0.105990648,4.405847718,0.105990648
,,,,,,,
20,2,0.3,1,4.95646501,0.119506359,4.95646501,0.119506359
,,,,,,,
20,2,0.3,2,4.801059129,0.114989758,4.801059129,0.114989758
,,,,,,,
20,2,0.3,3,6.606757602,0.111991167,6.606757602,0.111991167
,,,,,,,
20,2,0.3,4,5.633407238,0.11299181,5.633407238,0.11299181
,,,,,,,
20,2,0.3,5,4.388995735,0.110989809,4.388995735,0.110989809
,,,,,,,
20,2,0.3,6,3.939218781,0.109993935,3.939218781,0.109993935
,,,,,,,
20,2,0.3,7,4.61050887,0.116988897,4.61050887,0.116988897
,,,,,,,
20,2,0.3,8,5.827396053,0.128991604,5.827396053,0.128991604
,,,,,,,
20,2,0.3,9,4.913530072,0.124989271,4.913530072,0.124989271
,,,,,,,
20,2,0.3,10,5.261364229,0.110987902,5.261364229,0.110987902
,,,,,,,
20,2,0.3,11,4.018384912,0.12850976,4.018384912,0.12850976
,,,,,,,
20,2,0.3,12,5.179085721,0.110991001,5.179085721,0.110991001
,,,,,,,
20,2,0.3,13,4.771365882,0.109990358,4.771365882,0.109990358
,,,,,,,
20,2,0.3,14,4.690596629,0.120990515,4.690596629,0.120990515
,,,,,,,
20,2,0.3,15,4.778133812,0.123988628,4.778133812,0.123988628
,,,,,,,
20,2,0.3,16,4.740272547,0.112007856,4.740272547,0.112007856
,,,,,,,
20,2,0.3,17,4.625564907,0.119990349,4.625564907,0.119990349
,,,,,,,
20,2,0.3,18,5.350367708,0.112989664,5.350367708,0.112989664
,,,,,,,
20,2,0.3,19,4.914038407,0.117990255,4.914038407,0.117990255
,,,,,,,
30,2,1,0,4.953361423,5.182084322,4.953361423,5.182084322
,,,,,,,
30,2,1,1,5.416783295,603.3169782,5.416783295,603.3169782
,,,,,,,
30,2,1,2,5.007873519,253.4918408,5.007873519,253.4918408
,,,,,,,
30,2,1,3,5.548353689,601.428334,5.548353689,601.428334
,,,,,,,
30,2,1,4,5.580096518,602.3126838,5.580096518,602.3126838
,,,,,,,
30,2,1,5,5.317240893,423.4119477,5.317240893,423.4119477
,,,,,,,
30,2,1,6,4.525925648,0.940419912,4.525925648,0.940419912
,,,,,,,
30,2,1,7,5.077946002,601.2142272,5.077946002,601.2142272
,,,,,,,
30,2,1,8,5.021933239,601.1231434,5.021933239,601.1231434
,,,,,,,
30,2,1,9,5.078035283,602.497894,5.078035283,602.497894
,,,,,,,
30,2,1,10,5.213829257,603.3472049,5.213829257,603.3472049
,,,,,,,
30,2,1,11,4.867445686,0.479493618,4.867445686,0.479493618
,,,,,,,
30,2,1,12,5.174355622,4.858005524,5.174355622,4.858005524
,,,,,,,
30,2,1,13,5.07013231,602.036479,5.07013231,602.036479
,,,,,,,
30,2,1,14,5.012475738,321.57705,5.012475738,321.57705
,,,,,,,
30,2,1,15,5.102450136,602.8578804,5.102450136,602.8578804
,,,,,,,
30,2,1,16,5.042135008,602.2568362,5.042135008,602.2568362
,,,,,,,
30,2,1,17,4.809960128,601.1023877,4.809960128,601.1023877
,,,,,,,
30,2,1,18,5.425935003,46910.76844,5.425935003,46910.76844
,,,,,,,
30,2,1,19,4.877684482,110.7448232,4.877684482,110.7448232
,,,,,,,
30,2,0.9,0,5.076907886,2.850263357,5.076907886,2.850263357
,,,,,,,
30,2,0.9,1,5.416783295,602.4579799,5.416783295,602.4579799
,,,,,,,
30,2,0.9,2,5.030970437,35.30909824,5.030970437,35.30909824
,,,,,,,
30,2,0.9,3,5.548353689,45.03364682,5.548353689,45.03364682
,,,,,,,
30,2,0.9,4,5.585381375,602.2167571,5.585381375,602.2167571
,,,,,,,
30,2,0.9,5,5.336124791,50.83999896,5.336124791,50.83999896
,,,,,,,
30,2,0.9,6,4.525925648,0.74903512,4.525925648,0.74903512
,,,,,,,
30,2,0.9,7,5.077946002,601.4127827,5.077946002,601.4127827
,,,,,,,
30,2,0.9,8,5.028205346,9.021010399,5.028205346,9.021010399
,,,,,,,
30,2,0.9,9,5.144506763,602.0465257,5.144506763,602.0465257
,,,,,,,
30,2,0.9,10,5.259099186,602.3838506,5.259099186,602.3838506
,,,,,,,
30,2,0.9,11,4.8868089,1.171691418,4.8868089,1.171691418
,,,,,,,
30,2,0.9,12,5.174355622,3.198960304,5.174355622,3.198960304
,,,,,,,
30,2,0.9,13,5.07013231,601.372963,5.07013231,601.372963
,,,,,,,
30,2,0.9,14,5.019018409,59.8811934,5.019018409,59.8811934
,,,,,,,
30,2,0.9,15,5.156927788,602.0134447,5.156927788,602.0134447
,,,,,,,
30,2,0.9,16,5.098678421,601.6027765,5.098678421,601.6027765
,,,,,,,
30,2,0.9,17,4.809960128,11.65456033,4.809960128,11.65456033
,,,,,,,
30,2,0.9,18,5.425935003,602.4072907,5.425935003,602.4072907
,,,,,,,
30,2,0.9,19,4.914649868,10.25594401,4.914649868,10.25594401
,,,,,,,
30,2,0.7,0,5.30232128,1.126959562,5.30232128,1.126959562
,,,,,,,
30,2,0.7,1,5.465752782,124.1029055,5.465752782,124.1029055
,,,,,,,
30,2,0.7,2,5.017955689,2.930776834,5.017955689,2.930776834
,,,,,,,
30,2,0.7,3,5.603565924,5.867179871,5.603565924,5.867179871
,,,,,,,
30,2,0.7,4,5.604999214,138.0296183,5.604999214,138.0296183
,,,,,,,
30,2,0.7,5,5.390446396,2.752574205,5.390446396,2.752574205
,,,,,,,
30,2,0.7,6,4.525925648,0.660979271,4.525925648,0.660979271
,,,,,,,
30,2,0.7,7,5.146947196,9.495498419,5.146947196,9.495498419
,,,,,,,
30,2,0.7,8,5.028205346,1.786527395,5.028205346,1.786527395
,,,,,,,
30,2,0.7,9,5.144506763,10.58887219,5.144506763,10.58887219
,,,,,,,
30,2,0.7,10,5.289667334,177.9052117,5.289667334,177.9052117
,,,,,,,
30,2,0.7,11,4.93943325,0.387248516,4.93943325,0.387248516
,,,,,,,
30,2,0.7,12,5.246620925,0.574913979,5.246620925,0.574913979
,,,,,,,
30,2,0.7,13,5.135153603,3.629142761,5.135153603,3.629142761
,,,,,,,
30,2,0.7,14,5.102169664,4.370891809,5.102169664,4.370891809
,,,,,,,
30,2,0.7,15,5.156927788,75.31209993,5.156927788,75.31209993
,,,,,,,
