cmtFileName,Number of Trucks,Coarsening Rate,Run Number,Solution Cost,Relative Cost,Solve Time,D-Wave Problem ID
CMT01.xml,5,1,0,2402.3476394457143,4.579302032835276,48.24072027206421,85e31162-53fa-46e0-832f-c85eaccbdbba
CMT01.xml,5,0.9,0,2204.6183000116207,4.202394731346373,32.40027666091919,3d7a7ea4-5564-413b-a492-867f041f56b6
CMT01.xml,5,0.7,0,1865.967231071784,3.5568655402523475,18.578713178634644,9d097c3d-daab-458b-8e65-54c5df42d121
CMT01.xml,5,0.5,0,1405.4588064919033,2.6790545481250896,14.516133785247803,e76edbe6-e4fa-4c0b-b70b-2b5e60fa3bfc
CMT01.xml,5,0.3,0,976.3776382452119,1.8611494981895347,11.758433103561401,2c06d2c5-6c6a-49b9-8580-b709d3217df3
CMT02.xml,10,1,0,3630.856788462801,4.346977933173863,139.80594658851624,653608c8-c926-416d-ba65-a20aa06e9afe
CMT02.xml,10,0.9,0,3326.4476556550535,3.9825295784008015,97.97412443161011,f1ba6095-3784-451d-bb49-2de754b232b9
CMT02.xml,10,0.7,0,2843.9193744582058,3.4048312794318005,53.65606355667114,776aacec-433f-4f4d-b92c-7c6c78c1cdcc
CMT02.xml,10,0.5,0,2249.7596710326206,2.6934842696078114,27.050248861312866,257826f5-b928-4987-9d74-9d642599fd4e
CMT02.xml,10,0.3,0,1453.6019286241192,1.740298743653616,15.578533411026001,4202a158-1e23-45e8-9da3-3d2e2a87a293
