cmtFileName,Number of Trucks,Coarsening Rate,Run Number,Solution Cost,Relative Cost,Solve Time,D-Wave Problem ID
CMT01.xml, 5, 1, 0, 1286.047942065085, 2.4514361946304586, 1829.2339906692505, 2217fa0e-eff2-4f46-aa68-756a185c4ef7
CMT01.xml, 5, 0.9, 0, 1298.3392838611953, 2.4748656790019163, 1091.7634944915771, fea5de85-e48a-427b-b1bd-ba0625755a0d
CMT01.xml,5,0.7,0,1078.9378515388646,2.0566475125118937,378.00937271118164,402c0812-270f-4621-b531-d4cdb44ff6e3
CMT01.xml,5,0.5,0,897.1159221093016,1.7100625647801253,110.86123156547546,6723ef8f-a8d4-4ad2-bc98-bd3bd140ec9b
CMT01.xml, 5, 0.3, 0, 789.7848806659024, 1.5054705031659754, 25.6110360622406, 67c57d8e-9c1e-4524-9e4c-691827a9b37d
CMT02.xml,10,1,0,3630.856788462801,4.346977933173863,139.7282736301422,7bb989ac-c41a-4131-92b2-a01b532668c4
CMT02.xml,10,0.9,0,3326.4476556550535,3.9825295784008015,98.45527768135071,458e1281-c7f6-4e1e-9d67-1a257aaacd37
CMT02.xml,10,0.7,0,2843.9193744582058,3.4048312794318005,49.68816351890564,5c9bda2e-5290-42e2-9e99-48068446a483
CMT02.xml,10,0.5,0,2249.7596710326206,2.6934842696078114,24.196305751800537,37bbaa0c-4853-4441-88bf-f586b799761b
CMT02.xml,10,0.3,0,1453.6019286241192,1.740298743653616,15.094783544540405,29cd66ff-0167-4b2a-90e6-3fbe1b24983d
