,cmtFileName,Number of Trucks,Coarsening Rate,Run Number,Solution Cost,Relative Cost,Solve Time
0,CMT01.xml,5,0.3,0,673.2843187527453,1.2833997040711105,71.28301525115967
1,CMT01.xml,5,0.3,1,673.2843187527453,1.2833997040711105,68.95374131202698
2,CMT01.xml,5,0.3,2,673.2843187527453,1.2833997040711105,71.28301525115967
3,CMT01.xml,5,0.5,0,599.0760144674589,1.1419454727654046,3004.6329169273376
4,CMT01.xml,5,0.5,1,599.0760144674589,1.1419454727654046,3004.4548082351685
5,CMT01.xml,5,0.5,2,599.0760144674589,1.1419454727654046,3004.6329169273376
6,CMT01.xml,5,0.7,0,578.8951315542527,1.1034771192967208,3004.47172498703
7,CMT01.xml,5,0.7,1,578.8951315542527,1.1034771192967208,3004.306215524673
8,CMT01.xml,5,0.7,2,578.8951315542527,1.1034771192967208,3004.47172498703
9,CMT01.xml,5,0.9,0,563.321949362002,1.0737918632164885,3001.979054927826
10,CMT01.xml,5,0.9,1,563.321949362002,1.0737918632164885,3001.965630531311
11,CMT01.xml,5,0.9,2,563.321949362002,1.0737918632164885,3001.979054927826
12,CMT01.xml,5,1.0,0,555.5309235560107,1.0589407818303325,3002.0440666675568
13,CMT01.xml,5,1.0,1,555.5309235560107,1.0589407818303325,3001.9293196201324
14,CMT01.xml,5,1.0,2,555.5309235560107,1.0589407818303325,3002.0440666675568
15,CMT02.xml,10,0.3,0,0.0,0.0,
16,CMT02.xml,10,0.3,1,0.0,0.0,
17,CMT02.xml,10,0.3,2,0.0,0.0,
18,CMT02.xml,10,0.5,0,1017.2387590544938,1.217870793590611,3007.9274368286133
19,CMT02.xml,10,0.5,1,1017.2387590544938,1.217870793590611,3009.9714906215668
20,CMT02.xml,10,0.5,2,1017.2387590544938,1.217870793590611,3007.9274368286133
21,CMT02.xml,10,0.7,0,908.4845937583764,1.0876668268064753,3003.934204339981
22,CMT02.xml,10,0.7,1,908.4845937583764,1.0876668268064753,3005.025549888611
23,CMT02.xml,10,0.7,2,908.4845937583764,1.0876668268064753,3003.934204339981
24,CMT02.xml,10,0.9,0,947.7093807140794,1.1346279969279978,3002.045451402664
25,CMT02.xml,10,0.9,1,947.7093807140794,1.1346279969279978,3001.8916976451874
26,CMT02.xml,10,0.9,2,947.7093807140794,1.1346279969279978,3002.045451402664
27,CMT02.xml,10,1.0,0,888.9513440674243,1.0642809952199606,3001.3518702983856
28,CMT02.xml,10,1.0,1,888.9513440674243,1.0642809952199606,3001.3639907836914
29,CMT02.xml,10,1.0,2,888.9513440674243,1.0642809952199606,3001.3518702983856
63,CMT03.xml,8,0.3,0,991.14811355927,1.199733838767364,3011.138437986374
64,CMT03.xml,8,0.3,1,991.14811355927,1.199733838767364,3011.2798125743866
34,CMT03.xml,8,0.3,2,991.14811355927,1.199733838767364,3011.663839817047
61,CMT03.xml,8,0.5,0,905.2314449338292,1.0957361281790363,3007.09137749672
62,CMT03.xml,8,0.5,1,905.2314449338292,1.0957361281790363,3006.83672952652
33,CMT03.xml,8,0.5,2,905.2314449338292,1.0957361281790363,3007.255986690521
