cmtFileName,Number of Trucks,Coarsening Rate,Run Number,Solution Cost,Relative Cost,Solve Time
CMT01.xml,5,1,0,2402.3476394457143,4.579302032835276,48.24072027206421
CMT01.xml,5,0.9,0,2204.6183000116207,4.202394731346373,32.40027666091919
CMT01.xml,5,0.7,0,1865.967231071784,3.5568655402523475,18.578713178634644
CMT01.xml,5,0.5,0,1405.4588064919033,2.6790545481250896,14.516133785247803
CMT01.xml,5,0.3,0,976.3776382452119,1.8611494981895347,11.758433103561401
CMT02.xml,10,1,0,3630.856788462801,4.346977933173863,139.80594658851624
CMT02.xml,10,0.9,0,3326.4476556550535,3.9825295784008015,97.97412443161011
CMT02.xml,10,0.7,0,2843.9193744582058,3.4048312794318005,53.65606355667114
CMT02.xml,10,0.5,0,2249.7596710326206,2.6934842696078114,27.050248861312866
CMT02.xml,10,0.3,0,1453.6019286241192,1.740298743653616,15.578533411026001
