cmtFileName,Number of Trucks,Coarsening Rate,Run Number,Solution Cost,Relative Cost,Solve Time
CMT01.xml, 5, 1, 0, 1286.047942065085, 2.4514361946304586, 1829.2339906692505
CMT01.xml, 5, 0.9, 0, 1298.3392838611953, 2.4748656790019163, 1091.7634944915771
CMT01.xml,5,0.7,0,1078.9378515388646,2.0566475125118937,378.00937271118164
CMT01.xml,5,0.5,0,897.1159221093016,1.7100625647801253,110.86123156547546
CMT01.xml, 5, 0.3, 0, 789.7848806659024, 1.5054705031659754, 25.6110360622406
CMT02.xml,10,1,0,3630.856788462801,4.346977933173863,139.7282736301422
CMT02.xml,10,0.9,0,3326.4476556550535,3.9825295784008015,98.45527768135071
CMT02.xml,10,0.7,0,2843.9193744582058,3.4048312794318005,49.68816351890564
CMT02.xml,10,0.5,0,2249.7596710326206,2.6934842696078114,24.196305751800537
CMT02.xml,10,0.3,0,1453.6019286241192,1.740298743653616,15.094783544540405
