cmtFileName,Number of Trucks,Coarsening Rate,Run Number,Solution Cost,Relative Cost,Solve Time
CMT03.xml,8,1,0,897.4102121417352,1.0862689279562001,3003.4654290676117
CMT03.xml,8,0.9,0,850.5889042912659,1.0295941417813759,3005.4734642505646
CMT03.xml,8,0.7,0,869.6052031927153,1.052612394016408,3008.725474357605
CMT03.xml,8,0.5,0,914.2013848415102,1.1065937793128406,3014.4310762882233
CMT03.xml,8,0.3,0,991.1481135592701,1.199733838767364,3014.9540083408356
CMT04.xml,12,1,0,1106.8694331589247,1.0762815125716387,3002.424464941025
CMT04.xml,12,0.9,0,1079.1706866871234,1.0493482105434777,3007.2055337429047
CMT04.xml,12,0.7,0,1188.0144326929922,1.155184100555213,3016.9190719127655
CMT04.xml,12,0.5,0,1140.5274268074334,1.1090093802215373,3018.3716559410095
CMT04.xml,12,0.3,0,1216.38003049692,1.1827658257296823,3025.142438173294
CMT05.xml,17,1,0,1496.7951230528047,1.1591471497903683,3004.27387881279
CMT05.xml,17,0.9,0,1475.0302110984048,1.142291980189117,3013.1984827518463
CMT05.xml,17,0.7,0,1411.0746164193733,1.0927635282696941,3025.2482743263245
CMT05.xml,17,0.5,0,1431.0904305526485,1.1082641626223766,3033.421941280365
CMT05.xml,17,0.3,0,1511.7842215979936,1.1707549981785608,3044.372913122177
CMT06.xml,6,1,0,546.0479008278818,0.983108403989489,3007.655709028244
CMT06.xml,6,0.9,0,529.4325226895949,0.9531939626768358,3005.100326538086
CMT06.xml,6,0.7,0,579.2822095339849,1.0429436824334029,3003.5049228668213
CMT06.xml,6,0.5,0,604.4931959942509,1.088333716209515,216.10063529014587
CMT06.xml,6,0.3,0,636.4918512889948,1.145944315735547,0.9598309993743896
CMT07.xml,11,1,0,863.607090560109,0.9493526191189309,3005.780851840973
CMT07.xml,11,0.9,0,873.7718101825608,0.9605265699834676,3005.8004987239838
CMT07.xml,11,0.7,0,895.96023923203,0.9849180362677316,3011.2457625865936
CMT07.xml,11,0.5,0,921.1251739049428,1.012581538458516,3014.063884496689
CMT07.xml,11,0.3,0,997.3688854221228,1.0963953098035826,77.57360029220581
CMT08.xml,9,1,0,948.7204974815941,1.0955961122959952,3006.491693496704
CMT08.xml,9,0.9,0,870.5973776549196,1.0053784068814462,3004.2825350761414
CMT08.xml,9,0.7,0,880.850052600993,1.0172183437663036,3010.6804871559143
CMT08.xml,9,0.5,0,934.3288763490217,1.078976460665891,3009.840867996216
CMT08.xml,9,0.3,0,998.1932270401328,1.1527279338523833,3010.9379737377167
CMT09.xml,14,1,0,1143.3787842639156,0.9835093409005339,3002.5106632709503
CMT09.xml,14,0.9,0,1090.7765241983911,0.938262031051044,3007.5606384277344
CMT09.xml,14,0.7,0,1223.0343049171388,1.0520272718740173,3017.0410492420197
CMT09.xml,14,0.5,0,1137.0282979447004,0.9780467919183695,3019.352754354477
CMT09.xml,14,0.3,0,1196.6003219517822,1.0292893397718654,3023.6433234214783
CMT10.xml,18,1,0,1474.4009530655542,1.0562746377229317,3004.239051580429
CMT10.xml,18,0.9,0,1442.5361935415988,1.0334464258635232,3013.378656387329
CMT10.xml,18,0.7,0,1405.172611183128,1.0066788058767977,3025.199576854706
CMT10.xml,18,0.5,0,1433.7784012777477,1.0271722615451142,3033.623201608658
CMT10.xml,18,0.3,0,1481.3464618580567,1.0612504652061876,3046.892238378525
CMT11.xml,7,1,0,1124.1230230036952,1.0786886567801168,3003.6413950920105
CMT11.xml,7,0.9,0,1148.622034604621,1.1021974768784988,3010.7792959213257
CMT11.xml,7,0.7,0,1060.5371107243036,1.0176727351210069,3010.1643319129944
CMT11.xml,7,0.5,0,1065.6894861514193,1.0226168638462168,3018.210087776184
CMT11.xml,7,0.3,0,1097.7206271147534,1.0533533826380392,3013.5261132717133
CMT12.xml,10,1,0,830.1005745884651,1.0128612604183527,3005.265585899353
CMT12.xml,10,0.9,0,827.6255453631054,1.0098413116344203,3012.94704580307
CMT12.xml,10,0.7,0,831.4093169323374,1.0144581445316236,3012.8643128871918
CMT12.xml,10,0.5,0,842.8361705514238,1.0284008133039972,3013.046143054962
CMT12.xml,10,0.3,0,856.9887985887416,1.0456693818497018,46.51885724067688
CMT13.xml,11,1,0,1098.5904170505537,0.7128427119214047,3003.9408419132233
CMT13.xml,11,0.9,0,1367.718165334943,0.8874717192045778,3010.5237300395966
CMT13.xml,11,0.7,0,1081.377322147404,0.7016736455788597,3011.750476360321
CMT13.xml,11,0.5,0,1092.7846573261256,0.7090755267698753,3019.63965511322
CMT13.xml,11,0.3,0,1114.341014775293,0.7230628072565067,3013.821616411209
CMT14.xml,11,1,0,847.3904737207953,0.9780930476826244,3005.9401421546936
CMT14.xml,11,0.9,0,848.8360864178202,0.9797616335027992,3012.4903588294983
CMT14.xml,11,0.7,0,852.8987448728135,0.9844509215148418,3011.6297883987427
CMT14.xml,11,0.5,0,870.9967875215888,1.0053404290563948,3022.1028537750244
CMT14.xml,11,0.3,0,884.1586905897924,1.0205324406313612,21.769126653671265
