20,1,1,0,3.510393338,0.174977303,3.510393338,0.174977303
20,1,1,1,3.756452,0.390951157,3.756452,0.390951157
20,1,1,2,4.094968164,0.217972279,4.094968164,0.217972279
20,1,1,3,4.458116543,0.26597023,4.458116543,0.26597023
20,1,1,4,4.190009351,0.212975502,4.190009351,0.212975502
20,1,1,5,3.553749208,0.57293272,3.553749208,0.57293272
20,1,1,6,3.31806506,0.301964521,3.31806506,0.301964521
20,1,1,7,4.038244269,0.389953613,4.038244269,0.389953613
20,1,1,8,4.079131705,0.149979353,4.079131705,0.149979353
20,1,1,9,3.806661082,0.633867025,3.806661082,0.633867025
20,1,1,10,3.725888844,0.119989157,3.725888844,0.119989157
20,1,1,11,3.666707342,0.35350728,3.666707342,0.35350728
20,1,1,12,4.262677418,0.103983641,4.262677418,0.103983641
20,1,1,13,4.113388612,0.41694665,4.113388612,0.41694665
20,1,1,14,3.41112785,0.232979774,3.41112785,0.232979774
20,1,1,15,3.569976138,0.214548826,3.569976138,0.214548826
20,1,1,16,3.504957582,0.154982567,3.504957582,0.154982567
20,1,1,17,3.476848298,0.284965992,3.476848298,0.284965992
20,1,1,18,3.865033952,2.085676432,3.865033952,2.085676432
20,1,1,19,4.107471888,0.085995197,4.107471888,0.085995197
20,1,0.9,0,3.521643933,0.098377466,3.521643933,0.098377466
20,1,0.9,1,3.756452,1.911021948,3.756452,1.911021948
20,1,0.9,2,4.095962012,0.231765747,4.095962012,0.231765747
20,1,0.9,3,4.458116543,0.277967691,4.458116543,0.277967691
20,1,0.9,4,4.200096685,0.261985302,4.200096685,0.261985302
20,1,0.9,5,3.553749208,0.327386618,3.553749208,0.327386618
20,1,0.9,6,3.31806506,0.227974176,3.31806506,0.227974176
20,1,0.9,7,4.038244269,0.239972353,4.038244269,0.239972353
20,1,0.9,8,4.079131705,0.141983032,4.079131705,0.141983032
20,1,0.9,9,3.806661082,0.381957054,3.806661082,0.381957054
20,1,0.9,10,3.737004632,0.241970539,3.737004632,0.241970539
20,1,0.9,11,3.666707342,0.283859015,3.666707342,0.283859015
20,1,0.9,12,4.280709259,0.114986181,4.280709259,0.114986181
20,1,0.9,13,4.113388612,0.316931009,4.113388612,0.316931009
20,1,0.9,14,3.41112785,0.111988068,3.41112785,0.111988068
20,1,0.9,15,3.569976138,0.163984537,3.569976138,0.163984537
20,1,0.9,16,3.504957582,0.123983622,3.504957582,0.123983622
20,1,0.9,17,3.476848298,0.191976786,3.476848298,0.191976786
20,1,0.9,18,3.865033952,0.682541132,3.865033952,0.682541132
20,1,0.9,19,4.112530684,0.108990431,4.112530684,0.108990431
20,1,0.7,0,3.71555845,0.24596858,3.71555845,0.24596858
20,1,0.7,1,3.903441355,0.284965515,3.903441355,0.284965515
20,1,0.7,2,4.105662092,0.130984783,4.105662092,0.130984783
20,1,0.7,3,4.535587534,0.1399827,4.535587534,0.1399827
20,1,0.7,4,4.24535927,0.133984327,4.24535927,0.133984327
20,1,0.7,5,3.57146638,0.205982447,3.57146638,0.205982447
20,1,0.7,6,3.3649509,0.108981371,3.3649509,0.108981371
20,1,0.7,7,4.038244269,0.177976847,4.038244269,0.177976847
20,1,0.7,8,4.129872672,0.15798831,4.129872672,0.15798831
20,1,0.7,9,3.822509083,0.282966137,3.822509083,0.282966137
20,1,0.7,10,3.725888844,0.134979725,3.725888844,0.134979725
20,1,0.7,11,3.777144863,0.354958534,3.777144863,0.354958534
20,1,0.7,12,4.326638588,0.151994944,4.326638588,0.151994944
20,1,0.7,13,4.177277195,0.2655828,4.177277195,0.2655828
20,1,0.7,14,3.453027786,0.143984079,3.453027786,0.143984079
20,1,0.7,15,3.586574672,0.106987238,3.586574672,0.106987238
20,1,0.7,16,3.504957582,0.158980608,3.504957582,0.158980608
20,1,0.7,17,3.476848298,0.167980194,3.476848298,0.167980194
20,1,0.7,18,3.960042001,0.539046049,3.960042001,0.539046049
20,1,0.7,19,4.260389981,0.1182127,4.260389981,0.1182127
20,1,0.3,0,4.024585139,0.113984823,4.024585139,0.113984823
20,1,0.3,1,4.255697942,0.114281416,4.255697942,0.114281416
20,1,0.3,2,4.379448869,0.111985683,4.379448869,0.111985683
20,1,0.3,3,5.113087723,0.1139884,5.113087723,0.1139884
20,1,0.3,4,4.49436304,0.108985186,4.49436304,0.108985186
20,1,0.3,5,3.749500439,0.264942408,3.749500439,0.264942408
20,1,0.3,6,3.95981828,0.127013683,3.95981828,0.127013683
20,1,0.3,7,4.163306984,0.11098814,4.163306984,0.11098814
20,1,0.3,8,4.362675091,0.103987455,4.362675091,0.103987455
20,1,0.3,9,4.454666056,0.230971575,4.454666056,0.230971575
20,1,0.3,10,3.994887473,0.112971544,3.994887473,0.112971544
20,1,0.3,11,3.793876226,0.166962147,3.793876226,0.166962147
20,1,0.3,12,4.695756345,0.13210535,4.695756345,0.13210535
20,1,0.3,13,4.648956759,0.139030933,4.648956759,0.139030933
20,1,0.3,14,3.553410065,0.145998716,3.553410065,0.145998716
20,1,0.3,15,3.885235948,0.145513535,3.885235948,0.145513535
20,1,0.3,16,3.504957582,0.114989758,3.504957582,0.114989758
20,1,0.3,17,3.910237563,0.134985447,3.910237563,0.134985447
20,1,0.3,18,3.960042001,0.12098527,3.960042001,0.12098527
20,1,0.3,19,4.318221343,0.113983393,4.318221343,0.113983393
30,1,1,0,4.702588113,0.849845409,4.702588113,0.849845409
30,1,1,1,4.471800731,0.781951904,4.471800731,0.781951904
30,1,1,2,4.447906148,0.684381962,4.447906148,0.684381962
30,1,1,3,4.911388784,0.805154085,4.911388784,0.805154085
