cmtFileName,Number of Trucks,Coarsening Rate,Run Number,Solution Cost,Relative Cost,Solve Time,D-Wave Problem ID,Real number of trucks
CMT01.xml,5,1,0,2402.3476394457143,4.579302032835276,29.940760135650635,N/A,8
CMT01.xml,5,1,1,2402.3476394457143,4.579302032835276,31.108753442764282,N/A,8
CMT01.xml,5,1,2,2402.3476394457143,4.579302032835276,30.40676236152649,N/A,8
CMT01.xml,5,0.9,0,2204.6183000116207,4.202394731346373,20.586667776107788,N/A,8
CMT01.xml,5,0.9,1,2204.6183000116207,4.202394731346373,21.283857822418213,N/A,8
CMT01.xml,5,0.9,2,2204.6183000116207,4.202394731346373,20.604527473449707,N/A,8
CMT01.xml,5,0.7,0,1865.967231071784,3.5568655402523475,10.227088212966919,N/A,8
CMT01.xml,5,0.7,1,1865.967231071784,3.5568655402523475,9.828982591629028,N/A,8
CMT01.xml,5,0.7,2,1865.967231071784,3.5568655402523475,10.42167067527771,N/A,8
CMT01.xml,5,0.5,0,1405.4588064919033,2.6790545481250896,4.160952806472778,N/A,9
CMT01.xml,5,0.5,1,1405.4588064919033,2.6790545481250896,4.309516906738281,N/A,9
CMT01.xml,5,0.5,2,1405.4588064919033,2.6790545481250896,4.005887746810913,N/A,9
CMT01.xml,5,0.3,0,976.3776382452119,1.8611494981895347,1.636265754699707,N/A,8
CMT01.xml,5,0.3,1,976.3776382452119,1.8611494981895347,1.6456336975097656,N/A,8
CMT01.xml,5,0.3,2,976.3776382452119,1.8611494981895347,1.6918296813964844,N/A,8
CMT02.xml,10,1,0,3630.856788462801,4.346977933173863,104.07011938095093,N/A,14
CMT02.xml,10,1,1,3630.856788462801,4.346977933173863,103.30388402938843,N/A,14
CMT02.xml,10,1,2,3630.856788462801,4.346977933173863,103.54422330856323,N/A,14
CMT02.xml,10,0.9,0,3326.4476556550535,3.9825295784008015,74.84076046943665,N/A,16
CMT02.xml,10,0.9,1,3326.4476556550535,3.9825295784008015,75.85203242301941,N/A,16
CMT02.xml,10,0.9,2,3326.4476556550535,3.9825295784008015,74.32429599761963,N/A,16
CMT02.xml,10,0.7,0,2843.9193744582058,3.4048312794318005,35.712645053863525,N/A,15
CMT02.xml,10,0.7,1,2843.9193744582058,3.4048312794318005,37.08957242965698,N/A,15
CMT02.xml,10,0.7,2,2843.9193744582058,3.4048312794318005,35.616172552108765,N/A,15
CMT02.xml,10,0.5,0,2249.7596710326206,2.6934842696078114,14.751621723175049,N/A,13
CMT02.xml,10,0.5,1,2249.7596710326206,2.6934842696078114,14.739777565002441,N/A,13
CMT02.xml,10,0.5,2,2249.7596710326206,2.6934842696078114,15.099528074264526,N/A,13
CMT02.xml,10,0.3,0,1453.6019286241192,1.740298743653616,5.041188478469849,N/A,14
CMT02.xml,10,0.3,1,1453.6019286241192,1.740298743653616,5.178055047988892,N/A,14
CMT02.xml,10,0.3,2,1453.6019286241192,1.740298743653616,5.22598671913147,N/A,14
CMT03.xml,8,1,0,4989.4226212577205,6.039439588033167,248.9869499206543,N/A,12
CMT03.xml,8,1,1,4989.4226212577205,6.039439588033167,248.2371861934662,N/A,12
CMT03.xml,8,1,2,4989.4226212577205,6.039439588033167,251.20701909065247,N/A,12
CMT03.xml,8,0.9,0,4600.972765837347,5.5692410073805245,175.7231912612915,N/A,12
CMT03.xml,8,0.9,1,4600.972765837347,5.5692410073805245,175.8137125968933,N/A,12
CMT03.xml,8,0.9,2,4600.972765837347,5.5692410073805245,175.9295494556427,N/A,12
CMT03.xml,8,0.7,0,3802.95867471097,4.603285974182306,88.31814384460449,N/A,11
CMT03.xml,8,0.7,1,3802.95867471097,4.603285974182306,86.75890946388245,N/A,11
CMT03.xml,8,0.7,2,3802.95867471097,4.603285974182306,85.22650170326233,N/A,11
CMT03.xml,8,0.5,0,2986.382465433753,3.6148624511992558,34.82366442680359,N/A,12
CMT03.xml,8,0.5,1,2986.382465433753,3.6148624511992558,34.66456985473633,N/A,12
CMT03.xml,8,0.5,2,2986.382465433753,3.6148624511992558,34.14152145385742,N/A,12
CMT03.xml,8,0.3,0,2132.433465505106,2.581201086383792,13.256798505783081,N/A,11
CMT03.xml,8,0.3,1,2132.433465505106,2.581201086383792,12.56744384765625,N/A,11
CMT03.xml,8,0.3,2,2132.433465505106,2.581201086383792,12.5806725025177,N/A,11
CMT04.xml,12,1,0,7360.5017683808865,7.157097069661117,868.5705132484436,N/A,17
CMT04.xml,12,1,1,7360.5017683808865,7.157097069661117,865.1296050548553,N/A,17
CMT04.xml,12,1,2,7360.5017683808865,7.157097069661117,882.9587399959564,N/A,17
CMT04.xml,12,0.9,0,6703.910222365277,6.518650184132238,629.0139241218567,N/A,18
CMT04.xml,12,0.9,1,6703.910222365277,6.518650184132238,630.9612901210785,N/A,18
CMT04.xml,12,0.9,2,6703.910222365277,6.518650184132238,620.3557441234589,N/A,18
CMT04.xml,12,0.7,0,5307.093638594146,5.160434101431464,292.61548686027527,N/A,16
CMT04.xml,12,0.7,1,5307.093638594146,5.160434101431464,295.88824248313904,N/A,16
CMT04.xml,12,0.7,2,5307.093638594146,5.160434101431464,303.7734751701355,N/A,16
CMT04.xml,12,0.5,0,4225.810695423317,4.10903200581797,117.8681263923645,N/A,16
CMT04.xml,12,0.5,1,4225.810695423317,4.10903200581797,120.97420334815979,N/A,16
CMT04.xml,12,0.5,2,4225.810695423317,4.10903200581797,120.21009802818298,N/A,16
CMT04.xml,12,0.3,0,2807.4114186872803,2.7298296597569864,43.29551672935486,N/A,16
CMT04.xml,12,0.3,1,2807.4114186872803,2.7298296597569864,42.249884366989136,N/A,16
CMT04.xml,12,0.3,2,2807.4114186872803,2.7298296597569864,41.615774631500244,N/A,16
CMT05.xml,17,1,0,9608.407976530198,7.440937339040957,2365.487415790558,N/A,24
